Name,Standard
U.S. Federal Reserve,Fed
Federal Reserve,Fed
Federal Open Market Committee,FOMC
Trade Tension,Trade War
Protectionism,Trade War
Trump,Donald Trump
President Trump,Donald Trump
President Donald Trump,Donald Trump
May,Theresa May
Theresa,Theresa May
PM May,Theresa May
Prime Minister May,Theresa May
Prime Minister Theresa May,Theresa May
PM Theresa May,Theresa May
UK PM May,Theresa May
Xi,Xi Jinping
President Xi Jinping,Xi Jinping
President Xi,Xi Jinping
BoE,Bank Of England
Belt and Road,Belt and Road Initiative
Belt,Belt and Road Initiative
Trudeau,Justin Trudeau
PM Trudeau,Justin Trudeau
Prime Minister Trudeau,Justin Trudeau
Prime Minister Justin Trudeau,Justin Trudeau
